id,hname,City,state,ZIP Code,county,total_amount,year,group
155,AURORA MEDICAL CTR MANITOWOC COUNTY,TWO RIVERS,WI,54241,MANITOWOC,20,0,low
156,AURORA MEDICAL CTR OSHKOSH,OSHKOSH,WI,54904,WINNEBAGO,21,0,low
157,AURORA MEDICAL CTR WASHINGTON COUNTY,HARTFORD,WI,53027,WASHINGTON,20,0,low
158,AURORA MEMORIAL HOSPITAL BURLINGTON,BURLINGTON,WI,53105,RACINE,21,0,low
159,AURORA SHEBOYGAN MEMORIAL MEDICAL CTR,SHEBOYGAN,WI,53083,SHEBOYGAN,21,0,low
160,AURORA ST LUKES MEDICAL CENTER,MILWAUKEE,WI,53215,MILWAUKEE,21,0,low
161,AURORA WEST ALLIS MEDICAL CENTER,WEST ALLIS,WI,53227,MILWAUKEE,20,0,low
162,AUXILIO MUTUO HOSPITAL,HATO REY,PR,918,SAN JUAN,60,1,medium
163,AVENTURA HOSPITAL AND MEDICAL CENTER,AVENTURA,FL,33180,MIAMI-DADE,20,0,low
164,AVERA GREGORY HOSPITAL,GREGORY,SD,57533,GREGORY,104,1,medium
165,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,MILLER,SD,57362,HAND,72,1,medium
166,AVERA HEART HOSPITAL OF SOUTH DAKOTA,SIOUX FALLS,SD,57108,MINNEHAHA,20,0,low
167,AVERA HOLY FAMILY HOSPITAL,ESTHERVILLE,IA,51334,EMMET,33,1,medium
168,AVERA MARSHALL REGIONAL MEDICAL CTR,MARSHALL,MN,56258,LYON,20,0,low
169,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,SIOUX FALLS,SD,57117,MINNEHAHA,21,0,low
170,AVERA QUEEN OF PEACE,MITCHELL,SD,57301,DAVISON,20,0,low
171,AVERA SACRED HEART HOSPITAL,YANKTON,SD,57078,YANKTON,20,0,low
172,AVERA ST ANTHONYS HOSPITAL,O NEILL,NE,68763,HOLT,28,1,medium
173,AVERA ST BENEDICT HEALTH CENTER - CAH,PARKSTON,SD,57366,HUTCHINSON,42,1,medium
174,AVERA ST LUKES,ABERDEEN,SD,57401,BROWN,20,0,low
175,AVERA ST MARYS HOSPITAL,PIERRE,SD,57501,HUGHES,21,0,low
176,AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH,WESSINGTON SPRINGS,SD,57382,JERAULD,112,1,medium
177,AVOYELLES HOSPITAL,MARKSVILLE,LA,71351,AVOYELLES,22,1,medium
178,BACON COUNTY HOSPITAL,ALMA,GA,31510,BACON,21,0,low
179,"BAILEY MEDICAL CENTER, LLC",OWASSO,OK,74055,TULSA,22,1,medium
180,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD,CA,93308,KERN,20,0,low
181,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,93301,KERN,21,0,low
182,BALDWIN AREA MEDICAL CENTER,BALDWIN,WI,54002,SAINT CROIX,99,1,medium
183,BALLINGER MEMORIAL HOSPITAL,BALLINGER,TX,76821,RUNNELS,120,2,high
184,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,PHOENIX,AZ,85006,MARICOPA,21,0,low
185,BANNER BAYWOOD MEDICAL CENTER,MESA,AZ,85206,MARICOPA,21,0,low
186,BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,85351,MARICOPA,22,1,medium
187,BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,AZ,85222,PINAL,22,1,medium
188,BANNER CHURCHILL COMMUNITY HOSPITAL,FALLON,NV,89406,CHURCHILL,21,0,low
189,BANNER DEL E WEBB MEDICAL CENTER,SUN CITY WEST,AZ,85375,MARICOPA,21,0,low
190,BANNER DESERT MEDICAL CENTER,MESA,AZ,85202,MARICOPA,21,0,low
191,BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ,85037,MARICOPA,23,1,medium
192,BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,85234,MARICOPA,21,0,low
193,BANNER GOLDFIELD MEDICAL CENTER,APACHE JUNCTION,AZ,85120,PINAL,21,0,low
194,BANNER HEART HOSPITAL,MESA,AZ,85206,MARICOPA,88,1,medium
195,BANNER IRONWOOD MEDICAL CENTER,SAN TAN VALLEY,AZ,85140,PINAL,20,0,low
196,BANNER LASSEN MEDICAL CENTER,SUSANVILLE,CA,96130,LASSEN,21,0,low
197,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,85306,MARICOPA,22,1,medium
198,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,TUCSON,AZ,85713,PIMA,24,1,medium
199,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,TUCSON,AZ,85724,PIMA,26,1,medium
200,BAPTIST BEAUMONT HOSPITAL,BEAUMONT,TX,77701,JEFFERSON,20,0,low
201,BAPTIST EASLEY HOSPITAL,EASLEY,SC,29641,PICKENS,20,0,low
202,BAPTIST EMERGENCY HOSPITAL,SAN ANTONIO,TX,78232,BEXAR,21,0,low
203,BAPTIST HEALTH CORBIN,CORBIN,KY,40701,KNOX,21,0,low
204,BAPTIST HEALTH LA GRANGE,LA GRANGE,KY,40031,OLDHAM,22,1,medium
205,BAPTIST HEALTH LEXINGTON,LEXINGTON,KY,40503,FAYETTE,21,0,low
206,BAPTIST HEALTH LOUISVILLE,LOUISVILLE,KY,40207,JEFFERSON,21,0,low
207,BAPTIST HEALTH MADISONVILLE,MADISONVILLE,KY,42431,HOPKINS,20,0,low
208,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,HEBER SPRINGS,AR,72543,CLEBURNE,25,1,medium
209,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE ROCK,AR,72117,PULASKI,20,0,low
210,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,ARKADELPHIA,AR,71923,CLARK,20,0,low
211,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,MALVERN,AR,72104,HOT SPRING,24,1,medium
212,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,72205,PULASKI,20,0,low
213,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,72160,ARKANSAS,22,1,medium
214,BAPTIST HEALTH PADUCAH,PADUCAH,KY,42003,MCCRACKEN,21,0,low
215,BAPTIST HEALTH RICHMOND,RICHMOND,KY,40475,MADISON,21,0,low
216,BAPTIST HOSPITAL,PENSACOLA,FL,32501,ESCAMBIA,24,1,medium
217,BAPTIST HOSPITAL OF MIAMI,MIAMI,FL,33176,MIAMI-DADE,20,0,low
218,BAPTIST MEDICAL CENTER,SAN ANTONIO,TX,78205,BEXAR,23,1,medium
219,BAPTIST MEDICAL CENTER - BEACHES,JACKSONVILLE BEACH,FL,32250,DUVAL,20,0,low
220,BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEACH,FL,32034,NASSAU,20,0,low
221,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,36117,MONTGOMERY,20,0,low
222,BAPTIST MEDICAL CENTER JACKSONVILLE,JACKSONVILLE,FL,32207,DUVAL,22,1,medium
223,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,MONTGOMERY,22,1,medium
224,BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,35211,JEFFERSON,20,0,low
225,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,COLUMBUS,MS,39701,LOWNDES,21,0,low
226,BAPTIST MEMORIAL HOSPITAL,MEMPHIS,TN,38120,SHELBY,20,0,low
227,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,BOONEVILLE,MS,38829,PRENTISS,23,1,medium
228,BAPTIST MEMORIAL HOSPITAL DESOTO,SOUTHAVEN,MS,38671,DESOTO,20,0,low
229,BAPTIST MEMORIAL HOSPITAL HUNTINGDON,HUNTINGDON,TN,38344,CARROLL,22,1,medium
230,BAPTIST MEMORIAL HOSPITAL NORTH MS,OXFORD,MS,38655,LAFAYETTE,20,0,low
231,BAPTIST MEMORIAL HOSPITAL TIPTON,COVINGTON,TN,38019,TIPTON,21,0,low
232,BAPTIST MEMORIAL HOSPITAL UNION CITY,UNION CITY,TN,38261,OBION,21,0,low
233,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,NEW ALBANY,MS,38652,UNION,21,0,low
234,BAPTIST ST ANTHONYS HOSPITAL,AMARILLO,TX,79106,POTTER,22,1,medium
235,BARAGA COUNTY MEMORIAL HOSPITAL,L ANSE,MI,49946,BARAGA,28,1,medium
236,BARNES JEWISH HOSPITAL,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,22,1,medium
237,BARNES-JEWISH ST PETERS HOSPITAL,SAINT PETERS,MO,63376,SAINT CHARLES,20,0,low
238,BARNES-JEWISH WEST COUNTY HOSPITAL,CREVE COEUR,MO,63141,SAINT LOUIS,20,0,low
239,BARNES-KASSON COUNTY HOSPITAL,SUSQUEHANNA,PA,18847,SUSQUEHANNA,36,1,medium
240,"BARNESVILLE HOSPITAL ASSOCIATION, INC",BARNESVILLE,OH,43713,BELMONT,95,1,medium
241,BARRETT MEMORIAL HOSPITAL,DILLON,MT,59725,BEAVERHEAD,20,0,low
242,BARROW REGIONAL MEDICAL CENTER,WINDER,GA,30680,BARROW,20,0,low
243,BARSTOW COMMUNITY HOSPITAL,BARSTOW,CA,92311,SAN BERNARDINO,20,0,low
244,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,JUNEAU,20,0,low
245,BARTON COUNTY MEMORIAL HOSPITAL,LAMAR,MO,64759,BARTON,49,1,medium
246,BARTON MEMORIAL HOSPITAL,SOUTH LAKE TAHOE,CA,96150,EL DORADO,20,0,low
247,BARTOW REGIONAL MEDICAL CENTER,BARTOW,FL,33831,POLK,21,0,low
248,"BASIN HEALTHCARE CENTER, LLC",ODESSA,TX,79761,ECTOR,22,1,medium
249,BATES COUNTY MEMORIAL HOSPITAL,BUTLER,MO,64730,BATES,20,0,low
250,BATH COMMUNITY HOSPITAL,HOT SPRINGS,VA,24445,BATH,51,1,medium
251,BATH VA MEDICAL CENTER,BATH,NY,14810,STEUBEN,97,1,medium
252,BATON ROUGE GENERAL MEDICAL CENTER,BATON ROUGE,LA,70806,EAST BATON ROUGE,22,1,medium
253,BATTLE CREEK VA MEDICAL CENTER,BATTLE CREEK,MI,49015,CALHOUN,87,1,medium
254,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,72653,BAXTER,20,0,low
255,BAY AREA HOSPITAL,COOS BAY,OR,97420,COOS,22,1,medium
256,BAY AREA MEDICAL CENTER,MARINETTE,WI,54143,MARINETTE,21,0,low
257,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,PANAMA CITY,FL,32401,BAY,20,0,low
258,BAY PARK COMMUNITY HOSPITAL,OREGON,OH,43616,LUCAS,20,0,low
259,BAY PINES VA MEDICAL CENTER,BAY PINES,FL,33708,PINELLAS,115,2,high
260,BAYFRONT HEALTH - ST PETERSBURG,SAINT PETERSBURG,FL,33701,PINELLAS,20,0,low
261,BAYFRONT HEALTH BROOKSVILLE,BROOKSVILLE,FL,34601,HERNANDO,21,0,low
262,BAYFRONT HEALTH DADE CITY,DADE CITY,FL,33525,PASCO,21,0,low
263,BAYFRONT HEALTH PORT CHARLOTTE,PORT CHARLOTTE,FL,33952,CHARLOTTE,23,1,medium
264,BAYFRONT HEALTH PUNTA GORDA,PUNTA GORDA,FL,33950,CHARLOTTE,21,0,low
265,BAYHEALTH - KENT GENERAL HOSPITAL,DOVER,DE,19901,KENT,20,0,low
266,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,MILFORD,DE,19963,SUSSEX,20,0,low
267,BAYLOR EMERGENCY MEDICAL CENTER,AUBREY,TX,76227,DENTON,20,0,low
268,BAYLOR EMERGENCY MEDICAL CENTER,ROCKWALL,TX,75087,ROCKWALL,81,1,medium
269,BAYLOR HEART AND VASCULAR HOSPITAL,DALLAS,TX,75226,DALLAS,119,2,high
270,BAYLOR MEDICAL CENTER AT CARROLLTON,CARROLLTON,TX,75010,DENTON,21,0,low
271,BAYLOR MEDICAL CENTER AT FRISCO,FRISCO,TX,75034,COLLIN,23,1,medium
